date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:11	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%22386a6e018cad59c894a6786523e3f4c1%22	https://anam.co/robots.txt		(from )
15:53:11	53104/53104	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2009:53:11%20GMT	https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4	D:/Softwares/robi's%20blog/anam.co/index0a30.html	(from )
15:53:12	34982/34982	---MCZ	200	added ('OK')	text/css	etag:W/%2288a6-1658740caae%22	https://anam.co/assets/built/screen.css?v=cfe2113eef	D:/Softwares/robi's%20blog/anam.co/assets/built/screen4124.css	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:12	3210/3210	---M--	200	added ('OK')	image/png	etag:%2288cbdca31280d6228975a06e60cace76%22	https://anam.co/favicon.png	D:/Softwares/robi's%20blog/anam.co/favicon.png	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:12	748/748	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269d61675c3dab2b32364a989a088412b%22	https://anam.co/public/ghost-sdk.min.js?v=cfe2113eef	D:/Softwares/robi's%20blog/anam.co/public/ghost-sdk.min4124.js	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:12	25121/25121	---M--	200	added ('OK')	image/png	etag:W/%226221-165728a88bc%22	https://anam.co/content/images/2018/06/bloglogo-1.png	D:/Softwares/robi's%20blog/anam.co/content/images/2018/06/bloglogo-1.png	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:13	494274/494274	---M--	200	added ('OK')	image/jpeg	etag:W/%2278ac2-169ef5aa55e%22	https://anam.co/content/images/2019/04/IMG_20190303_133003.jpg	D:/Softwares/robi's%20blog/anam.co/content/images/2019/04/IMG_20190303_133003.jpg	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:13	28664/28664	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2009:53:12%20GMT	https://anam.co/how-to-conduct-coding-interviews/	D:/Softwares/robi's%20blog/anam.co/how-to-conduct-coding-interviews/index.html	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:13	52962/52962	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2009:53:13%20GMT	https://anam.co/author/anam/	D:/Softwares/robi's%20blog/anam.co/author/anam/index.html	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:13	28015/28015	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2009:53:13%20GMT	https://anam.co/lessons-i-learned-trying-to-record-video-streams-from-the-frontend-best-practices/	D:/Softwares/robi's%20blog/anam.co/lessons-i-learned-trying-to-record-video-streams-from-the-frontend-best-practices/index.html	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:13	70647/70647	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2009:53:13%20GMT	https://anam.co/baijnyaanik-klpkaahinii-simbi/	D:/Softwares/robi's%20blog/anam.co/baijnyaanik-klpkaahinii-simbi/index.html	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:14	26545/26545	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2009:53:13%20GMT	https://anam.co/otp-verification-without-using-a-database/	D:/Softwares/robi's%20blog/anam.co/otp-verification-without-using-a-database/index.html	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
15:53:14	29765/29765	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jan%202022%2009:53:13%20GMT	https://anam.co/webrtc-simplified-part2/	D:/Softwares/robi's%20blog/anam.co/webrtc-simplified-part2/index.html	(from https://anam.co/?fbclid=IwAR1-ba6bzrfOk1o9uz66tImnfNkNssReW-qD0iDqPNMZVbLw7YqXjp2UG_4)
